,index,product,category,sub_category,brand,sale_price,market_price,type,rating,description
139,140,Glass Water Bottle - Aquaria Organic Purple,"Kitchen, Garden & Pets",Storage & Accessories,Cello,369.0,425.0,Water & Fridge Bottles,4.8,"A cheerful pattern that adorns this brightly hued glass bottle. Bring home the colourful eccentricity of these Italian milk and water bottle for a pleasing sip each time as they are airtight. This serves as an ideal way to store milk, water, juices or just for decorative pieces."
1038,1039,"Glass Water Bottle With Round Base - Transparent, B1364","Kitchen, Garden & Pets",Storage & Accessories,BB Home,199.0,449.0,Water & Fridge Bottles,4.1,"A stylish solution for all your homebrews is this elegantly designed bottle. The bottle is designed using high-quality glass, which proves to be solid and offers great finishing. It features a seal cap with a long-neck design for an easier grip. You can store water, juices, brews and more. Keep your drinks fresh and preserve them for a long time."
1701,1702,H2O Unbreakable Water Bottle - Pink,"Kitchen, Garden & Pets",Storage & Accessories,Cello,139.0,175.0,Water & Fridge Bottles,4.4,"The Cello H2O Unbreakable bottle is designed for versatility and high durability. The set is made to be the safest choice for you and your family as it is extremely hygienic and 100% food grade. These bottles are reusable, sturdy, portable and useful when it comes to storing beverages.Benefits: BPA free and leak proof Break proof and crystal clearHygienic and 100-per cent food-gradeFreezer safe"
2209,2210,Water Bottle H2O Purple,"Kitchen, Garden & Pets",Storage & Accessories,Cello,149.0,175.0,Water & Fridge Bottles,4.2,"The Cello H2O Unbreakable bottle is designed for versatility and high durability. The set is made to be the safest choice for you and your family as it is extremely hygienic and 100% food grade. These bottles are reusable, sturdy, portable and useful when it comes to storing beverages.Benefits : BPA free and leak proofBreak proof and crystal clearHygienic and 100-per cent food-gradeFreezer safe"
2704,2705,H2O Unbreakable Water Bottle - Green,"Kitchen, Garden & Pets",Storage & Accessories,Cello,774.0,1050.0,Water & Fridge Bottles,4.4,"Vibrant and durable, this water bottle from the house of Cello is a must-buy. this bottle is lightweight and easy to clean. A versatile bottle which fits snugly in the refrigerator door pocket that makes storing water at home or outdoors easy."
2908,2909,Regel Tritan Plastic Sports Water Bottle - Black,"Kitchen, Garden & Pets",Storage & Accessories,Nouvetta,319.0,325.0,Water & Fridge Bottles,5.0,"This bottle can be used for hot and icy cold beverages. Protect your beverage with intelligently designed Tritan 100% food-grade material. The bottle is intelligently designed making it completely leak proof to prevent the beverage from spilling out. The bottle is easy to clean. With its steel body, easy grip and wide mouth, it becomes easy to reach every inch of your bottle for proper cleaning. Made with odour resistant material, the bottle maintains the essence of your drinks for hours keeping the bad odour far away. Also, it will not stink once cleaned properly."
3225,3226,Apsara 1 Water Bottle - Assorted Colour,"Kitchen, Garden & Pets",Storage & Accessories,Steelo Sunpet,159.0,270.0,Water & Fridge Bottles,3.7,"Steelo Sunpet Water Bottle - Apsara / Rasna, Assorted Colour. Steelo Rasna water bottle is ideal for storing water in the fridge or for keeping it accessible for drinking water, whenever required. It is made of high quality, USFDA approved Food Grade PET Poly Ethylene Threpthalate material that is also odourless. The bottle fits snugly in the refrigerator door pocket and can be used on a daily basis.Benefits : Break and leak proof and crystal clearHygienic and 100-per cent food gradeFreezer safe"
3481,3482,"Glass Water Bottle With Round Base - Yellow, B1363","Kitchen, Garden & Pets",Storage & Accessories,BB Home,209.0,499.0,Water & Fridge Bottles,4.5,"A stylish solution for all your homebrews is this elegantly designed bottle. The bottle is designed using high-quality glass, which proves to be solid and offers great finishing. It features a seal cap with a long-neck design for an easier grip. You can store water, juices, brews and more. Keep your drinks fresh and preserve them for a long time."
3669,3670,"Trendy Stainless Steel Bottle With Steel Cap - Steel Matt Finish, PXP 1002 CV","Kitchen, Garden & Pets",Storage & Accessories,BB Home,229.0,445.0,Water & Fridge Bottles,4.0,"Now free your environment, and yourself from the unhealthy plastic bottles and get a healthier one-time product for all your needs. These high-grade stainless steel bottles are here to enhance your dining and travelling experience, saving you from the negative effects of plastic. The single-walled steel bottles are perfect add-ons to your kitchen collection if you are looking for light-weighed, durable, classy looking product. The bottle comes with sipper & wide mouth steel cap, catering to double usage. Be it going to the gym, or sending it with the kids to school, the colourful sipper can always make it a very convenient, handy and more importantly a style-statement product. You can take it to the office or just keep on the dinner table. Open the wide mouth lid and use at ease. The bottles come with the major USP of inter-changeable lid facility. Now you can make the same steel cap bottle as a sipper bottle by just interchanging the lids. Hence, get 2 of two-in-one featured bottles of same model and capacities and get the best of both, with a variety of colours!"
3708,3709,"Penta Plastic Pet Water Bottle - Violet, Wide Mouth","Kitchen, Garden & Pets",Storage & Accessories,BB Home,149.0,269.0,Water & Fridge Bottles,4.0,"These BB Home pet water bottles are made of high-quality plastic which is 100% food grade and BPA free. Due to the use of virgin PET material, these bottles are having elegant shine and colour. These are the best ones to store water in the fridge or you can drink water directly from them.BB Home products are always high quality and at a very competitive price compared to other branded products in the market. So when you get the best or better than the brands available in the market at a lower cost, definitely you save money and get the best quality product for your use.Special Note: Colour of the bottle physically might slightly differ from the image displayed on the website due to digital photography."
3834,3835,Glass Water Bottle With Maroon Cap - BB1245MRN,"Kitchen, Garden & Pets",Storage & Accessories,DP,279.0,499.0,Water & Fridge Bottles,5.0,Redefine the experience of enjoying various beverages in this captivating looking bottles. The bottle is created using high-quality glass that ensures a classy finish and also offers to be durable yet lightweight features a sleek design that can be fitted anywhere easily. It is hygienic and boasts easy to hold design. Carry anywhere and everywhere with all convenience.
3930,3931,Loopy Pet water Bottle - Violet,"Kitchen, Garden & Pets",Storage & Accessories,Nayasa,249.0,329.0,Water & Fridge Bottles,5.0,These fridge bottles are of 100% food grade quality. These are heavy weight reusable pet bottles that are ideal for keeping in the fridge and indoors. These bottles come in a variety of colours.
3935,3936,Ivory Premium Glass Bottle - With Yellow Floral,"Kitchen, Garden & Pets",Storage & Accessories,Treo,205.0,205.0,Water & Fridge Bottles,3.3,"Glass has almost zero rates of chemical interaction thus ensures strength, aroma and flavour. Exclusive airtight, leak resistant lid safeguards from spoilage and bacteria. it isIt is ideal for storing milk, juice, water, lassi, cold coffee etc. Treo by Milton is synonymous with elegant and utilitarian glassware, handpicked from the finest furnaces in the world. Created with the perfect cuts to suit Indian tastes, these glass items are made to keep your guests talking while being functional additions to your home."
3976,3977,Double Walled Glass Bottle With Cream Cap - BB1241CRM,"Kitchen, Garden & Pets",Storage & Accessories,DP,279.0,409.0,Water & Fridge Bottles,5.0,Redefine the experience of enjoying various beverages in this captivating looking bottles. The bottle is created using high-quality glass- that ensures classy finish and also offers to be durable yet lightweight- features a sleek design that can be fitted anywhere easily. It is hygienic and boasts of easy to hold design. Carry anywhere and everywhere with all convenience.
4186,4187,"Water Bottle - Insulated, Assorted Colour, Stainless Steel","Kitchen, Garden & Pets",Storage & Accessories,SKI,809.0,809.0,Water & Fridge Bottles,4.5,"SKI Insulated Bottle is best for maintaining the temperature of beverages. It has a double walled design, which aids in maintaining hot and cold temperatures for longer durations, making it the perfect bottle for carrying drinks while travelling or while simply going on a picnic or road trip. The bottle has a leak resistant cap with a convenient flip straw which ensures that it remains leak proof."
4269,4270,Stainless Steel Water Bottle - Silver BB 497,"Kitchen, Garden & Pets",Storage & Accessories,DP,430.0,430.0,Water & Fridge Bottles,5.0,"Carry this versatile and modish black bottle whenever you go out. The bottle is made of stainless steel, which is durable and is corrosion resistant. Also, it is lightweight and dishwasher safe. The bottle's sleek design makes it fit anywhere in the backpack. It is ideal for students, travellers and people at the jobs. The wide mouth of the bottle makes it easy filling and prove to be perfect on the go bottle."
4280,4281,"Glass Bottle With Plastic Outer - Sky Blue, BB1310","Kitchen, Garden & Pets",Storage & Accessories,DP,219.0,409.0,Water & Fridge Bottles,4.0,"Keep yourself hydrated by carrying this smart-looking bottle whenever stepping out from the house. The glass body offers excellent finishing with enough durability and strength. It comes with a holder strap, which allows you to hold with much ease and convenience. This bottle can fit anywhere and is designed to slip into your office bag, purse or sports bag, as this bottle takes up minimal space."
4370,4371,"Pet Plastic Water Bottle - Blue, Aster, L3022X6 BL","Kitchen, Garden & Pets",Storage & Accessories,Princeware,316.0,316.0,Water & Fridge Bottles,4.5,"These elegantly designed bottles are easy to carry and pour. The durable, liquid-tight and spill-proof features make it easier to hold and carry. The sharp and bright colours add to the beauty of the bottles."
4401,4402,"Puro Stainless Steel Bottle With Steel Cap - Dark Red Colour, PXP 1008 CV","Kitchen, Garden & Pets",Storage & Accessories,BB Home,229.0,445.0,Water & Fridge Bottles,4.2,"Now free your environment, and yourself from the unhealthy plastic bottles and get a healthier one-time product for all your needs. These high-grade stainless steel bottles are here to enhance your dining and travelling experience, saving you from the negative effects of plastic. The single-walled steel bottles are perfect add-ons to your kitchen collection if you are looking for light-weighed, durable, classy looking product. The bottle comes with sipper & wide mouth steel cap, catering to double usage. Be it going to the gym, or sending it with the kids to school, the colourful sipper can always make it a very convenient, handy and more importantly a style-statement product. You can take it to the office or just keep on the dinner table. Open the wide mouth lid and use at ease. The bottles come with the major USP of inter-changeable lid facility. Now you can make the same steel cap bottle as a sipper bottle by just interchanging the lids. Hence, get 2 of two-in-one featured bottles of same model and capacities and get the best of both, with a variety of colours!"
4427,4428,Solar Pet water Bottle - Green,"Kitchen, Garden & Pets",Storage & Accessories,Nayasa,249.0,329.0,Water & Fridge Bottles,5.0,These fridge bottles are of 100% food grade quality. These are heavy weight reusable pet bottles that are ideal for keeping in the fridge and indoors. These bottles come in a variety of colours.
4529,4530,"Glass Bottle With Removable Fabric Cover - Beige, BB1308","Kitchen, Garden & Pets",Storage & Accessories,DP,259.0,479.0,Water & Fridge Bottles,5.0,"Stay hydrated whenever on the go by carrying this spectacular looking bottle. The bottle is durable, sturdy yet feels light in weight to hold, courtesy its glass body. The bottle features a sleek design with a wide mouth for convenient drinking; also fits easily anywhere in the bag."
5298,5299,"Water Bottle - Assorted Colour, Flip Top, Tesero Mars","Kitchen, Garden & Pets",Storage & Accessories,Pearlpet,229.0,354.0,Water & Fridge Bottles,3.3,"Pearlpet zing square water bottle series is made of high quality PET material that is ideal for storing water in the fridge or for keeping it accessible for drinking, whenever required. The bottle has a narrow mouth, which is unbreakable and safe for children. This versatile and virtually liquid-tight bottle makes storing cold beverages at home or outdoors easy. Ergonomically-designed, lightweight and compact. Bottle fits snugly in the refrigerator door pocket."
5479,5480,"Leo Plastic Pet Water Bottle - Violet, Wide Mouth","Kitchen, Garden & Pets",Storage & Accessories,BB Home,149.0,269.0,Water & Fridge Bottles,4.7,"These BB Home pet water bottles are made of high-quality plastic which is 100% food grade and BPA free. Due to the use of virgin PET material, these bottles are having elegant shine and colour. These are the best ones to store water in the fridge or you can drink water directly from them.BB Home products are always high quality and at a very competitive price compared to other branded products in the market. So when you get the best or better than the brands available in the market at a lower cost, definitely you save money and get the best quality product for your use. Colour of the bottle physically might slightly differ from the image displayed on the website due to digital photography."
5687,5688,"Glass Jug/Carafe/Bottle/Pitcher With Red Lid - Bistro, Concept 2","Kitchen, Garden & Pets",Storage & Accessories,Pasabahce,449.0,598.0,Water & Fridge Bottles,3.6,This high-quality jug features sturdy and perfectly balanced proportions. The neat design of the product gives it the elegance and beauty that you would want in your kitchen.
5838,5839,Glass Jug/Carafe/Bottle/Kosem,"Kitchen, Garden & Pets",Storage & Accessories,Pasabahce,339.0,410.0,Water & Fridge Bottles,3.7,"The Glassware Group works with a total of 5 facilities established in 3 different countries, producing handmade and machine-made soda-lime and crystalline glass under the Pasabahçe brand. This high-quality jug features sturdy and perfectly balanced proportions. The neat design of the product gives it the elegance and beauty that you would want in your kitchen.Benefits: This high-quality jug features sturdy and perfectly balanced proportions.The neat design of the product gives it the elegance and beauty that you would want in your kitchen."
6145,6146,Ice Cube Tray - Assorted Color,"Kitchen, Garden & Pets",Storage & Accessories,Princeware,144.0,144.0,Water & Fridge Bottles,4.3,"Princeware ice cube tray can freeze up to 16 ice cubes in each tray. The trays are made by using bakelite and have a good coefficient of expansion, making them suitable to set ice. They are long lasting, unbreakable and simple to wash."
6524,6525,"Pet Plastic Water Bottle - Pink, Victoria","Kitchen, Garden & Pets",Storage & Accessories,Princeware,179.0,330.0,Water & Fridge Bottles,3.4,"These elegantly designed bottles are easy to carry and pour. The durable, liquid-tight and spill-proof features make it easier to hold and carry. The sharp and bright colours add to the beauty of the bottles."
6825,6826,"Pet Plastic Water Bottle - Violet, Victoria","Kitchen, Garden & Pets",Storage & Accessories,Princeware,179.0,330.0,Water & Fridge Bottles,3.8,"These elegantly designed bottles are easy to carry and pour. The durable, liquid-tight and spill-proof features make it easier to hold and carry. The sharp and bright colours add to the beauty of the bottles."
6930,6931,"Double Walled Glass Bottle - Black Cap, BB1238","Kitchen, Garden & Pets",Storage & Accessories,DP,239.0,439.0,Water & Fridge Bottles,3.6,Redefine the experience of enjoying various beverages in this captivating looking bottles. The bottle is created using high-quality glass- that ensures a classy finish and also offers to be durable yet lightweight- features a sleek design that can be fitted anywhere easily. It is hygienic and boasts easy to hold design. Carry anywhere and everywhere with all convenience.
7123,7124,Glass Water Bottle - Aquaria Organic Pink,"Kitchen, Garden & Pets",Storage & Accessories,Cello,369.0,425.0,Water & Fridge Bottles,4.5,"A cheerful pattern that adorns this brightly hued glass bottle. Bring home the colourful eccentricity of these Italian milk and water bottle for a pleasing sip each time as they are airtight. This serves as an ideal way to store milk, water, juices or just for decorative pieces."
7152,7153,Sante Infuser Water Bottle - Orange,"Kitchen, Garden & Pets",Storage & Accessories,Steelo,109.0,249.0,Water & Fridge Bottles,3.8,Steelo Sante fruit Infusser Water Bottle is USFDA Approved PET (Polyethylene terrphthalate ).The bottle is made of 100% food grade material & is BPA free which ensures a safe drink.
8454,8455,"Trendy Stainless Steel Bottle With Steel Cap - Steel Matt Finish, PXP 1002 DV","Kitchen, Garden & Pets",Storage & Accessories,BB Home,498.0,990.0,Water & Fridge Bottles,3.6,"Now free your environment, and yourself from the unhealthy plastic bottles and get a healthier one-time product for all your needs. These high-grade stainless steel bottles are here to enhance your dining and travelling experience, saving you from the negative effects of plastic. The single-walled steel bottles are perfect add-ons to your kitchen collection if you are looking for light-weighed, durable, classy looking product. The bottle comes with sipper & wide mouth steel cap, catering to double usage. Be it going to the gym, or sending it with the kids to school, the colourful sipper can always make it a very convenient, handy and more importantly a style-statement product. You can take it to the office or just keep on the dinner table. Open the wide mouth lid and use at ease. The bottles come with the major USP of inter-changeable lid facility. Now you can make the same steel cap bottle as a sipper bottle by just interchanging the lids. Hence, get 2 of two-in-one featured bottles of same model and capacities and get the best of both, with a variety of colours!"
8570,8571,"Glass Water Bottle With Cover - Pink, BB1249","Kitchen, Garden & Pets",Storage & Accessories,DP,349.0,519.0,Water & Fridge Bottles,4.0,"Keep your body hydrated by keeping this smart and trendy looking bottle along with you. The bottle exhibit to be durable, strong yet lightweight, courtesy of its glass composition. It comes with a bottle cover which has a holder strap, which allows you to hold with much ease and convenience. This bottle can fit anywhere and is designed to slip into your office bag, purse or sports bag, as this bottle takes up minimal space."
8864,8865,Star Pet water Bottle - Amber,"Kitchen, Garden & Pets",Storage & Accessories,Nayasa,249.0,329.0,Water & Fridge Bottles,4.7,These fridge bottles are of 100% food grade quality. These are heavy weight reusable pet bottles that are ideal for keeping in the fridge and indoors. These bottles come in a variety of colours.
9197,9198,Sante Infuser Water Bottle - Yellow,"Kitchen, Garden & Pets",Storage & Accessories,Steelo,109.0,249.0,Water & Fridge Bottles,4.3,Steelo Sante fruit Infusser Water Bottle is USFDA Approved PET (Polyethylene terrphthalate ).The bottle is made of 100% food grade material & is BPA free which ensures a safe drink.
9225,9226,"Glass Water Bottle With Round Base - Yellow, B1364","Kitchen, Garden & Pets",Storage & Accessories,BB Home,209.0,499.0,Water & Fridge Bottles,4.5,"A stylish solution for all your homebrews is this elegantly designed bottle. The bottle is made using high-quality glass, which proves to be solid and offers great finishing. It features a seal cap with a long-neck design for an easier grip. You can store water, juices, brews and more and it helps to keep your drinks fresh and preserve them for a long time."
9646,9647,Sunshine Insulated Water Bottle - Green,"Kitchen, Garden & Pets",Storage & Accessories,Nayasa,219.0,279.0,Water & Fridge Bottles,5.0,This water bottle is of 100% food grade quality and it keeps the water cool with P.U. insulation. It has a comfortable drinking system for kids. Designed to fit in a side pocket or with a belt to carry on the shoulder. It is perfect for your kids to carry it to the school. The stylish bottle comes in different and bright colours to brighten the kids collection.
10326,10327,"Glass Bottle Ombre Matt Finish - Grey, BB1321","Kitchen, Garden & Pets",Storage & Accessories,DP,249.0,459.0,Water & Fridge Bottles,4.0,"Carry this versatile and modish bottle whenever you go out. The bottle is made of glass, which is durable and is light in weight. The bottle's sleek design makes it fit anywhere in the backpack. It is ideal for students, travellers and people at the jobs. The wide mouth of the bottle makes it easy filling and prove to be perfect on the go bottle. It's perfect to store water, juices, etc."
10350,10351,"Double Walled Glass Bottle - Black Cap, BB1240","Kitchen, Garden & Pets",Storage & Accessories,DP,279.0,409.0,Water & Fridge Bottles,4.3,Redefine the experience of enjoying various beverages in this captivating looking bottles. The bottle is created using high-quality glass- that ensures a classy finish and also offers to be durable yet lightweight- features a sleek design that can be fitted anywhere easily. It is hygienic and boasts easy to hold design. Carry anywhere and everywhere with all convenience.
10392,10393,Atlas Tritan Plastic Water Bottle - Black,"Kitchen, Garden & Pets",Storage & Accessories,Nouvetta,379.0,395.0,Water & Fridge Bottles,5.0,"Atlas Sports round water bottle series is made of high quality Triton material that is ideal for storing water in the fridge or for keeping it accessible for drinking, whenever required. The bottle has a narrow mouth, which is unbreakable and safe for children. These versatile and virtually liquid-tight bottle makes storing cold beverages at home or outdoors easy. Ergonomically-designed, lightweight and compact. Bottle fits snugly in the refrigerator door pocket. Looks like sporty bottle while carrying it to gym."
11060,11061,Oscar PET Fridge Plastic Water Bottle - Purple,"Kitchen, Garden & Pets",Storage & Accessories,Milton,29.0,45.0,Water & Fridge Bottles,3.8,"Combat dehydration with Milton's reusable, durable PET bottles. It is ideal for daily use at home, office or while travelling. It has an ergonomic shape with wide-mouthed. It is made from hygienic and odour-free materials and is available in 4 colours."
11351,11352,Whip Alloy Insulated Water Bottle - Pink,"Kitchen, Garden & Pets",Storage & Accessories,Nayasa,339.0,399.0,Water & Fridge Bottles,5.0,This water bottle is of 100% food grade quality and it keeps the water cool with P.U. insulation. It has a comfortable drinking system for kids. Designed to fit in a side pocket or with a belt to carry on the shoulder. It is perfect for your kids to carry it to the school. The stylish bottle comes in different and bright colours to brighten the kids collection.
12123,12124,"Glass Water Bottle With Round Base - Blue, B1366","Kitchen, Garden & Pets",Storage & Accessories,BB Home,209.0,499.0,Water & Fridge Bottles,4.3,"A stylish solution for all your homebrews is this elegantly designed bottle. The bottle is designed using high-quality glass, which proves to be solid and offers great finishing. It features a seal cap with a long-neck design for an easier grip. You can store water, juices, brews and more. Keep your drinks fresh and preserve them for a long time."
12907,12908,Stainless Steel Water Bottle - Red BB 502 1,"Kitchen, Garden & Pets",Storage & Accessories,DP,279.0,520.0,Water & Fridge Bottles,4.0,"This red coloured water bottle, made of stainless steel, is specially designed with a vacuum seal that prevents leakage. It is durable and lightweight. The slim design fits into most standard auto cup holders, making it perfect for long car rides and bags. The wide mouth of the bottle helps easy filling and also fits ice cubes."
13377,13378,Sunshine Insulated Water Bottle - Green,"Kitchen, Garden & Pets",Storage & Accessories,Nayasa,179.0,245.0,Water & Fridge Bottles,3.4,This water bottle is of 100% food grade quality and it keeps the water cool with P.U. insulation. It has a comfortable drinking system for kids. Designed to fit in a side pocket or with a belt to carry on the shoulder. It is perfect for your kids to carry it to the school. The stylish bottle comes in different and bright colours to brighten the kids collection.
13493,13494,"Glass Bottle With Plastic Outer - You & Me, BB1316","Kitchen, Garden & Pets",Storage & Accessories,DP,189.0,359.0,Water & Fridge Bottles,5.0,"Keep yourself hydrated by carrying this smart-looking bottle whenever stepping out from the house. The glass body offers excellent finishing with enough durability and strength. It comes with a holder strap, which allows holding with much ease and convenience. This bottle can fit anywhere and is designed to slip into your office bag, purse or sports bag, as this bottle takes up minimal space."
13497,13498,"Printed Glass Water Bottle With Silicon Cover At Bottom - Grey, BB1303","Kitchen, Garden & Pets",Storage & Accessories,DP,249.0,459.0,Water & Fridge Bottles,5.0,"Stay hydrated whenever on the go by carrying this spectacular looking bottle. The bottle is durable, sturdy yet feels light in weight to hold, courtesy its glass body. The bottle features a sleek design with a wide mouth for convenient drinking; also fits easily anywhere in the bag."
13679,13680,"Glass Bottle With Plastic Outer - Green, BB1315","Kitchen, Garden & Pets",Storage & Accessories,DP,169.0,309.0,Water & Fridge Bottles,3.5,"Keep yourself hydrated by carrying this smart looking bottle whenever stepping out from the house. The glass body offers excellent finishing with enough durability and strength. It comes with a holder strap, which allows to hold with much ease and convenience. This bottle can fit anywhere and is designed to slip into your office bag, purse or sports bag, as this bottle takes up minimal space."
13762,13763,Sunshine Insulated Water Bottle - Pink,"Kitchen, Garden & Pets",Storage & Accessories,Nayasa,209.0,279.0,Water & Fridge Bottles,5.0,This water bottle is of 100% food grade quality and it keeps the water cool with P.U. insulation. It has a comfortable drinking system for kids. Designed to fit in a side pocket or with a belt to carry on the shoulder. It is perfect for your kids to carry it to the school. The stylish bottle comes in different and bright colours to brighten the kids collection.
