,index,product,category,sub_category,brand,sale_price,market_price,type,rating,description
18693,18694,Pet Solitaire Premium water Bottle - Turkish Blue,"Kitchen, Garden & Pets",Storage & Accessories,Steelo,289.0,823.0,Water & Fridge Bottles,4.4,
18904,18905,Epsilon Tritan Plastic Sports Water Bottle - Green,"Kitchen, Garden & Pets",Storage & Accessories,Nouvetta,439.0,445.0,Water & Fridge Bottles,3.5,"This bottle can be used for hot and icy cold beverages. Protect your beverage with intelligently designed Tritan 100% food-grade material. The bottle is intelligently designed making it completely leak proof to prevent the beverage from spilling out. The bottle is easy to clean. With its TRITON Material, easy grip and wide mouth, it becomes easy to reach every inch of your bottle for proper cleaning. Made with odour resistant material, the bottle maintains the essence of your drinks for hours keeping the bad odour far away. Also, it will not stink once cleaned properly."
19033,19034,Loopy Pet water Bottle - Amber,"Kitchen, Garden & Pets",Storage & Accessories,Nayasa,249.0,329.0,Water & Fridge Bottles,5.0,These fridge bottles are of 100% food grade quality. These are heavy weight reusable pet bottles that are ideal for keeping in the fridge and indoors. These bottles come in a variety of colours.
19127,19128,"Puro Stainless Steel Bottle With Sipper Cap - Metallic Green Finish, PXP 1008 CQ","Kitchen, Garden & Pets",Storage & Accessories,BB Home,229.0,445.0,Water & Fridge Bottles,4.0,"Now free your environment, and yourself from the unhealthy plastic bottles and get a healthier one-time product for all your needs. These high-grade stainless steel bottles are here to enhance your dining and travelling experience, saving you from the negative effects of plastic. The single-walled steel bottles are perfect add-ons to your kitchen collection if you are looking for light-weighed, durable, classy looking product. The bottle comes with sipper & wide mouth steel cap, catering to double usage. Be it going to the gym, or sending it with the kids to school, the colourful sipper can always make it a very convenient, handy and more importantly a style-statement product. You can take it to the office or just keep on the dinner table. Open the wide mouth lid and use at ease. The bottles come with the major USP of inter-changeable lid facility. Now you can make the same steel cap bottle as a sipper bottle by just interchanging the lids. Hence, get 2 of two-in-one featured bottles of same model and capacities and get the best of both, with a variety of colours!"
19365,19366,Sante Infuser Water Bottle - Green,"Kitchen, Garden & Pets",Storage & Accessories,Steelo,109.0,249.0,Water & Fridge Bottles,3.9,Steelo Sante fruit Infusser Water Bottle is USFDA Approved PET (Polyethylene terrphthalate ).The bottle is made of 100% food grade material & is BPA free which ensures a safe drink.
19617,19618,Water Bottle - Apsara 1 Assorted Colour,"Kitchen, Garden & Pets",Storage & Accessories,Steelo,29.0,36.0,Water & Fridge Bottles,3.5,"Steelo Rasna water bottle is ideal for storing water in the fridge or for keeping it accessible for drinking water, whenever required. It is made of high quality, USFDA approved, Food Grade PET Poly Ethylene Threpthalate material that is also odourless. The bottle fits snugly in the refrigerator door pocket and can be used on a daily basis."
19625,19626,Atlas Plastic Water Bottle - Blue,"Kitchen, Garden & Pets",Storage & Accessories,Ratan,36.0,36.0,Water & Fridge Bottles,4.6,"This water bottle, made of 100% food-grade plastic is unbreakable and refrigerator safe. The air-tight seal ensures the prevention of any leakage. The bottle is easy to open and comes in assorted colours."
19674,19675,Sante Infuser Water Bottle - Red,"Kitchen, Garden & Pets",Storage & Accessories,Steelo,109.0,249.0,Water & Fridge Bottles,3.9,Steelo Sante fruit Infusser Water Bottle is USFDA Approved PET (Polyethylene terrphthalate ).The bottle is made of 100% food grade material & is BPA free which ensures a safe drink.
19691,19692,Hydro Sports Bottle,"Kitchen, Garden & Pets",Storage & Accessories,Saura,99.0,99.0,Water & Fridge Bottles,5.0,Saura provides a progressive range of bottles which have multiple uses. This bottle is ideal for keeping yourself hydrated all-day-long. It is are durable & easy to carry while traveling. It is the best choice for you and your family.
19753,19754,Whip Insulated Water Bottle - Red,"Kitchen, Garden & Pets",Storage & Accessories,Nayasa,219.0,279.0,Water & Fridge Bottles,5.0,This water bottle is of 100% food grade quality and it keeps the water cool with P.U. insulation. It has a comfortable drinking system for kids. Designed to fit in a side pocket or with a belt to carry on the shoulder. It is perfect for your kids to carry it to the school. The stylish bottle comes in different and bright colours to brighten the kids collection.
